,,,,,
Date,Predicted PM2.5,Actual PM2.5,Error,% Error,
12/1/24,6.01,8.7,-2.69,-30.92%,
12/2/24,6.86,9.4,-2.54,-27.02%,
12/3/24,7.63,9.3,-1.67,-17.96%,
12/4/24,7.82,9.3,-1.48,-15.91%,
12/5/24,7.77,4.7,3.07,65.32%,
12/6/24,5.59,7.7,-2.11,-27.40%,
12/7/24,6.06,8.7,-2.64,-30.34%,
12/8/24,6.99,9.8,-2.81,-28.67%,
12/9/24,7.88,7,0.88,12.57%,
12/10/24,6.85,4.8,2.05,42.71%,
12/11/24,5.31,5,0.31,6.20%,
12/12/24,4.87,9.5,-4.63,-48.74%,
12/13/24,6.94,12.1,-5.16,-42.64%,
12/14/24,9.15,17.3,-8.15,-47.11%,
12/15/24,12.31,10.9,1.41,12.94%,
12/16/24,10,8.8,1.2,13.64%,
12/17/24,7.65,10.3,-2.65,-25.73%,
12/18/24,7.58,9.1,-1.52,-16.70%,
12/19/24,7.29,11.3,-4.01,-35.49%,
12/20/24,8.3,7.5,0.8,10.67%,
12/21/24,7.02,9.9,-2.88,-29.09%,
12/22/24,7.55,10.1,-2.55,-25.25%,
12/23/24,8.02,15.3,-7.28,-47.58%,
12/24/24,10.65,17.3,-6.65,-38.44%,
12/25/24,12.58,15.5,-2.92,-18.84%,
12/26/24,11.99,18.1,-6.11,-33.76%,
12/27/24,12.67,14.5,-1.83,-12.62%,
12/28/24,11.06,6.4,4.66,72.81%,
12/29/24,6.55,5.9,0.65,11.02%,
12/30/24,4.85,8.5,-3.65,-42.94%,
12/31/24,5.96,8.3,-2.34,-28.19%,
,,,,29.65%,0.3172602203
Date,Predicted PM2.5,Actual PM2.5,,,
2024-12-01,32.86,48,-15.14,-31.54%,
2024-12-02,40.25,52,-11.75,-22.60%,
2024-12-03,44.34,51,-6.66,-13.06%,
2024-12-04,43.58,51,-7.42,-14.55%,
2024-12-05,42.93,26,16.93,65.12%,
2024-12-06,27.19,43,-15.81,-36.77%,
2024-12-07,35.44,48,-12.56,-26.17%,
2024-12-08,41.29,52,-10.71,-20.60%,
2024-12-09,44.46,39,5.46,14.00%,
2024-12-10,35.81,27,8.81,32.63%,
2024-12-11,27.26,28,-0.74,-2.64%,
2024-12-12,27.06,52,-24.94,-47.96%,
2024-12-13,42.52,57,-14.48,-25.40%,
2024-12-14,48.85,66,-17.15,-25.98%,
2024-12-15,54.36,54,0.36,0.67%,
2024-12-16,45.05,49,-3.95,-8.06%,
2024-12-17,40.26,53,-12.74,-24.04%,
2024-12-18,43.03,51,-7.97,-15.63%,
2024-12-19,42.63,55,-12.37,-22.49%,
2024-12-20,45.35,42,3.35,7.98%,
2024-12-21,37.17,52,-14.83,-28.52%,
2024-12-22,42.69,53,-10.31,-19.45%,
2024-12-23,44.62,63,-18.38,-29.17%,
2024-12-24,51.37,66,-14.63,-22.17%,
2024-12-25,53.67,63,-9.33,-14.81%,
2024-12-26,50.72,68,-17.28,-25.41%,
2024-12-27,53.61,61,-7.39,-12.11%,
2024-12-28,48.78,36,12.78,35.50%,
2024-12-29,31.99,33,-1.01,-3.06%,
2024-12-30,29.38,47,-17.62,-37.49%,
2024-12-31,39.07,46,-6.93,-15.07%,
,,,,22.60%,0.2345503316
